0000: ACCESSORIES_CONNECTED_BITMASK
00D2: COMPRESSOR_HEATING_REQUEST
00D3: COMPRESSOR_MAX_FREQUENCY
00D4: COMPRESSOR_MAX_FREQUENCY_DEV
00D5: COMPRESSOR_MIN_FREQUENCY
00D6: COMPRESSOR_QUICKSTART
00D7: COMPRESSOR_REAL_FREQUENCY
00D8: COMPRESSOR_RESTART_TIME
00D9: COMPRESSOR_SIZE
00DA: COMPRESSOR_SIZE_2
00DB: COMPRESSOR_SIZE_2_DISPLAY_VALUE
00DC: COMPRESSOR_SIZE_DISPLAY_VALUE
00DD: COMPRESSOR_SIZE_INDEX
00DE: COMPRESSOR_SIZE_INDEX_2
00DF: COMPRESSOR_SIZE_LW
00E0: COMPRESSOR_SIZE_LW_2
00E1: COMPRESSOR_START
00E2: COMPRESSOR_STARTUP_FREQUENCY
00E3: COMPRESSOR_STARTUP_TIME
00E4: COMPRESSOR_START_2
00E5: COMPRESSOR_START_DELAY_TIME
00E7: COMPRESSOR_STATE
00E8: COMPRESSOR_STATE_2
00E9: COMPRESSOR_TYPE
00EA: COMPRESSOR_TYPE_2
00EB: COMPRESSOR_USE_START_DELAY_TIME
00EC: CONFIGURATION
00ED: CONFIGURATION_BUDERUS
00EE: COOLING_FAN_STOP_DELAY_TIME
00EF: COUNTRY
00F1: CPU_BOOT_COUNTER
00F3: CRANKCASE_HEATER_BLOCK_TEMP
00F4: CURRENT_M_VALVE
00F5: DATE_DAY
00F6: DATE_DAY_OF_WEEK
00F7: DATE_HOUR
00F8: DATE_MIN
00F9: DATE_MONTH
00FA: DATE_SEC
00FB: DATE_YEAR
00FC: DEFROST_0_DELTA_TEMPERATURE
00FD: DEFROST_0_DELTA_TEMPERATURE_2
00FE: DEFROST_BATTERY
00FF: DEFROST_BATTERY_2
0100: DEFROST_BLOCK_DELAY_TIME
0101: DEFROST_BLOCK_DELAY_TIME_2
0102: DEFROST_CYCLE
0103: DEFROST_CYCLE_2
0104: DEFROST_CYCLE_2_CLOSING_DOWN
0105: DEFROST_CYCLE_CLOSING_DOWN
0106: DEFROST_DELAY_4_WAY_VALVE_2_SWITCH
0108: DEFROST_DELAY_4_WAY_VALVE_SWITCH
010A: DEFROST_DELAY_COMPRESSOR_2_START
010C: DEFROST_DELAY_COMPRESSOR_START
010E: DEFROST_DELTA_T12_T11
0110: DEFROST_DELTA_T12_T11_2
0112: DEFROST_DELTA_TEMPERATURE
0114: DEFROST_DELTA_TEMPERATURE_2
0116: DEFROST_DELTA_TIME
0118: DEFROST_DELTA_TIME_2
011A: DEFROST_FAN
011B: DEFROST_FAN_2
011C: DEFROST_FAN_COUNTER
011D: DEFROST_FAN_COUNTER_2
011E: DEFROST_FAN_INTERVAL_COUNTER
011F: DEFROST_FAN_INTERVAL_COUNTER_2
0120: DEFROST_FAN_TEMPERATURE_LIMIT
0121: DEFROST_FAN_TEMPERATURE_LIMIT_2
0122: DEFROST_FAN_TIME
0123: DEFROST_FAN_TIME_2
0124: DEFROST_GT11_STOP
0126: DEFROST_GT11_STOP_2
0128: DEFROST_MANUAL_START
0129: DEFROST_MANUAL_START_2
012A: DEFROST_MAX_TIME
012B: DEFROST_MAX_TIME_2
012C: DEFROST_MINUS10_DELTA_TEMPERATURE
012D: DEFROST_MINUS10_DELTA_TEMPERATURE_2
012E: DEFROST_MINUS20_DELTA_TEMPERATURE
012F: DEFROST_MINUS20_DELTA_TEMPERATURE_2
0130: DEFROST_OUT_START_TEMPERATURE
0131: DEFROST_OUT_START_TEMPERATURE_2
0132: DEFROST_PLUS10_DELTA_TEMPERATURE
0133: DEFROST_PLUS10_DELTA_TEMPERATURE_2
0134: DEFROST_QUIT_DELAY_TIME
0136: DEFROST_QUIT_DELAY_TIME_2
0138: DEFROST_REQUEST
0139: DEFROST_REQUEST_2
013A: DHW_BLOCKED
013B: DHW_BLOCK_SWITCH_TO_HEATING
013C: DHW_CALCULATED_SETPOINT_TEMP
013E: DHW_CALCULATED_SETPOINT_TEMP_OFFSET
0140: DHW_COMPRESSOR_GT8DIFF_FREQUENCY_MAX
0141: DHW_COMPRESSOR_GT8DIFF_FREQUENCY_MIN
0142: DHW_COMPRESSOR_GT8DIFF_GT8_MAX
0143: DHW_COMPRESSOR_GT8DIFF_GT8_MIN
0144: DHW_COMPRESSOR_HEATING_FREQUENCY_MAX
0145: DHW_COMPRESSOR_HEATING_FREQUENCY_MIN
0146: DHW_COMPRESSOR_HEATING_GT2_MAX
0147: DHW_COMPRESSOR_HEATING_GT2_MIN
0148: DHW_E21_COMPRESSOR_TEMPORARY_STOP
0149: DHW_E21_COMPRESSOR_TEMPORARY_STOP_DELAY
014A: DHW_E21_COMPRESSOR_TEMPORARY_STOP_DIFF
014B: DHW_E21_COMPRESSOR_TEMPORARY_STOP_SAVED_GT3
014D: DHW_E22_COMPRESSOR_TEMPORARY_STOP
014E: DHW_E22_COMPRESSOR_TEMPORARY_STOP_DELAY
014F: DHW_E22_COMPRESSOR_TEMPORARY_STOP_DIFF
0150: DHW_E22_COMPRESSOR_TEMPORARY_STOP_SAVED_GT3
0152: DHW_EXTERN_BLOCKED
0153: DHW_EXTERN_BLOCK_BY_E21_EXT_1
0154: DHW_EXTERN_BLOCK_BY_E21_EXT_2
0155: DHW_EXTERN_BLOCK_BY_E22_EXT_1
0156: DHW_EXTERN_BLOCK_BY_E22_EXT_2
0157: DHW_GT3_START_MAX_TEMP
0159: DHW_GT3_START_MAX_TEMP_2
015B: DHW_GT3_START_TEMP
015D: DHW_GT3_START_TEMP_2
015F: DHW_GT3_START_TEMP_COMFORT
0161: DHW_GT3_START_TEMP_COMFORT_2
0163: DHW_GT3_START_TEMP_ECONOMY
0165: DHW_GT3_START_TEMP_ECONOMY_2
0167: DHW_GT3_STOP_TEMP
0169: DHW_GT3_STOP_TEMP_2
016B: DHW_GT8_STOP_MAX_TEMP
016D: DHW_GT8_STOP_MAX_TEMP_2
016F: DHW_GT8_STOP_TEMP
0171: DHW_GT8_STOP_TEMP_2
0173: DHW_GT8_STOP_TEMP_COMFORT
0175: DHW_GT8_STOP_TEMP_COMFORT_2
0177: DHW_GT8_STOP_TEMP_ECONOMY
0179: DHW_GT8_STOP_TEMP_ECONOMY_2
017B: DHW_GT9_STOP_TEMP
017D: DHW_GT9_STOP_TEMP_2
017F: DHW_MAX_TIME
0180: DHW_PROGRAM_1_FRI
0182: DHW_PROGRAM_1_MON
0184: DHW_PROGRAM_1_SAT
0186: DHW_PROGRAM_1_SUN
0188: DHW_PROGRAM_1_THU
018A: DHW_PROGRAM_1_TUE
018C: DHW_PROGRAM_1_WED
018E: DHW_PROGRAM_2_FRI
0190: DHW_PROGRAM_2_MON
0192: DHW_PROGRAM_2_SAT
0194: DHW_PROGRAM_2_SUN
0196: DHW_PROGRAM_2_THU
0198: DHW_PROGRAM_2_TUE
019A: DHW_PROGRAM_2_WED
019C: DHW_PROGRAM_MODE
019D: DHW_PROTECTIVE_ANODE_INSTALLED
019E: DHW_REQUEST
019F: DHW_REQUEST_2
01A0: DHW_STATE_ECONOMY
01A1: DHW_TIMECONTROLLED
01A2: DHW_TIMEPROGRAM
01A3: DHW_USER_ENABLED
01A4: DHW_USER_ENABLED_2
01A5: DISPLAY_BACKLIGHT_INTENSITY
01A6: DISPLAY_TESTED
01A7: DRIFTTILLSTAND
01A8: DRYOUT_SETPOINT_TEMP
01AA: DST_ENABLED
01AB: DST_OFFSET
01AC: E31_T2_CONNECTED
01AD: E31_T32_KORRIGERING_GLOBAL
01AE: E71_T71_ACKNOWLEDGED
01AF: E71_T71_CONNECTED
01B0: E71_T71_KORRIGERING
01B1: E71_T71_STATUS
01B2: E71_T71_TEMP
01B4: E71_T72_KORRIGERING
01B5: E71_T72_STATUS
01B6: E71_T72_TEMP
01B8: E72_T71_ACKNOWLEDGED
01B9: E72_T71_CONNECTED
01BA: E72_T71_KORRIGERING
01BB: E72_T71_STATUS
01BC: E72_T71_TEMP
01BE: E72_T72_KORRIGERING
01BF: E72_T72_STATUS
01C0: E72_T72_TEMP
01C2: E81_T81_CONNECTED
01C3: ELSKAP_MAX
01C4: ELSKAP_MAX_TEMP
01C6: ELSKAP_TEMP
01C8: EL_DHW_REQUEST
01C9: ENABLE_HIGH_PROTECTION_HS_BY_E21_EXT_1
01CA: ENABLE_HIGH_PROTECTION_HS_BY_E21_EXT_2
01CB: ENABLE_HIGH_PROTECTION_HS_BY_E22_EXT_1
01CC: ENABLE_HIGH_PROTECTION_HS_BY_E22_EXT_2
01CD: ENVELOPE_BLOCK_ACKNOWLEDGE_TIME
01CE: ENVELOPE_BLOCK_AFTER_DHW
01CF: ENVELOPE_MAX_TEMPERATURE
01D0: ENVELOPE_MIN_OUTDOOR_TEMPERATURE
01D1: ENVELOPE_STOP
01D2: ENVELOPE_STOP_2
01D3: ENVELOPE_STOP_HG_VV
01D4: ENVELOPE_STOP_HG_VV_2
01D5: ENVELOPE_STOP_HOT_GAS_FUNCTION_ACTIVE
01D6: ENVELOPE_STOP_OUTDOOR
01D7: ENVELOPE_STOP_OUTDOOR_FUNCTION_ACTIVE
01D8: ENVELOPE_STOP_TEMPERATURE
01D9: EVU_1_ACTIVATED_BY_E21_EXT_1
01DA: EVU_1_ACTIVATED_BY_E21_EXT_2
01DB: EVU_1_ACTIVATED_BY_E22_EXT_1
01DC: EVU_1_ACTIVATED_BY_E22_EXT_2
01DD: EVU_1_ACTIVE
01DE: EVU_2_ACTIVATED_BY_E21_EXT_1
01DF: EVU_2_ACTIVATED_BY_E21_EXT_2
01E0: EVU_2_ACTIVATED_BY_E22_EXT_1
01E1: EVU_2_ACTIVATED_BY_E22_EXT_2
01E2: EVU_2_ACTIVE
01E3: EVU_3_ACTIVATED_BY_E21_EXT_1
01E4: EVU_3_ACTIVATED_BY_E21_EXT_2
01E5: EVU_3_ACTIVATED_BY_E22_EXT_1
01E6: EVU_3_ACTIVATED_BY_E22_EXT_2
01E7: EVU_3_ACTIVE
01E8: EXERCISE_DAY
01E9: EXERCISE_IOB6126_BITMASK
01EB: EXERCISE_REQUEST
01EC: EXERCISE_STATE
01ED: EXERCISE_TIME
01EE: EXTERN_HEAT_SOURCE_E71_EXT_INPUT_INV
01EF: EXTERN_HEAT_SOURCE_E72_EXT_INPUT_INV
01F0: FK_PID_D
01F2: FK_PID_I
01F4: FK_PID_P
01F6: FREEZEGARD_COMPRESSOR_FREQUENCY
01F7: FREEZEGUARD
01F8: FREEZEGUARD_DELAY_TIME
01F9: FREEZEGUARD_START_TEMPERATURE
01FB: FREEZEGUARD_STOP_TEMPERATURE
01FD: GRADMIN
01FF: GRADMIN_MAX
0201: GT10_2_KORRIGERING
0202: GT10_2_LR_TEMP
0204: GT10_2_STATUS
0205: GT10_2_TEMP
0207: GT10_GT11_MAX_DELTA_DELAY_AFTER_SWITCH_TIME
0208: GT10_GT11_MAX_DELTA_DELAY_TIME
0209: GT10_GT11_MAX_DELTA_TEMP
020A: GT10_KORRIGERING
020B: GT10_LAG_KOND_TEMP
020D: GT10_LR_ANTAL_VARNINGAR
020E: GT10_LR_HYSTERES
020F: GT10_LR_TEMP
0211: GT10_STATUS
0212: GT10_TEMP
0214: GT11_2_KORRIGERING
0215: GT11_2_LF_TEMP
0217: GT11_2_STATUS
0218: GT11_2_TEMP
021A: GT11_KORRIGERING
021B: GT11_LF_ANTAL_VARNINGAR
021C: GT11_LF_HYSTERES
021D: GT11_LF_TEMP
021F: GT11_STATUS
0220: GT11_TEMP
0222: GT12_2_KORRIGERING
0223: GT12_2_STATUS
0224: GT12_2_TEMP
0226: GT12_KORRIGERING
0227: GT12_STATUS
0228: GT12_TEMP
022A: GT1_KORRIGERING
022B: GT1_STATUS
022C: GT1_TEMP
022E: GT2_KORRIGERING
022F: GT2_STATUS
0230: GT2_TEMP
0232: GT3_ANSLUTEN
0233: GT3_KORRIGERING
0234: GT3_KVITTERAD
0235: GT3_KVITTERA_MANUELLT
0236: GT3_STATUS
0237: GT3_TEMP
0239: GT41_KORRIGERING_GLOBAL
023A: GT41_TEMP_GLOBAL
023C: GT45_ACKNOWLEDGED_GLOBAL
023D: GT45_KORRIGERING_GLOBAL
023E: GT45_TEMP_GLOBAL
0240: GT5_ANSLUTEN
0241: GT5_DAMPING_FACTOR
0243: GT5_KORRIGERING
0244: GT5_KVITTERAD
0245: GT5_STATUS
0246: GT5_TEMP
0248: GT6_2_HG_TEMP
0249: GT6_2_KORRIGERING
024A: GT6_2_STATUS
024B: GT6_2_TEMP
024D: GT6_HG_TEMP
024E: GT6_KORRIGERING
024F: GT6_STATUS
0250: GT6_TEMP
0252: GT81_KORRIGERING
0253: GT81_KVITTERAD
0254: GT81_STATUS
0255: GT81_TEMP
0257: GT82_KORRIGERING
0258: GT82_STATUS
0259: GT82_TEMP
025B: GT8_2_HF_TEMP
025D: GT8_2_HIGH_GT9_RESTART_HYSTERESIS
025E: GT8_2_KORRIGERING
025F: GT8_2_STATUS
0260: GT8_2_TEMP
0262: GT8_GT9_MAX_DELTA_DELAY_AFTER_SWITCH_TIME
0263: GT8_GT9_MAX_DELTA_DELAY_TIME
0264: GT8_GT9_MAX_DELTA_TEMP
0265: GT8_HF_ELK
0266: GT8_HF_ELK_TEMP
0267: GT8_HF_TEMP
0269: GT8_HIGH_GT9_RESTART_HYSTERESIS
026A: GT8_HIGH_MAX_WARNING_COUNT
026B: GT8_KORRIGERING
026C: GT8_STATUS
026D: GT8_TEMP
026F: GT9_2_KORRIGERING
0270: GT9_2_STATUS
0271: GT9_2_TEMP
0273: GT9_KORRIGERING
0274: GT9_STATUS
0275: GT9_TEMP
0277: HEATING_1A_DIFF
0279: HEATING_1A_DIFF_2
027B: HEATING_1A_DIFF_CONST
027D: HEATING_1A_DIFF_CONST_2
027F: HEATING_1A_DIFF_MAX
0281: HEATING_1A_DIFF_MAX_2
0283: HEATING_1A_DIFF_MIN
0285: HEATING_1A_DIFF_MIN_2
0287: HEATING_ADDITIONAL_SETPOINT
0289: HEATING_ADDITIONAL_SETPOINT_OFFSET
028A: HEATING_CABLE_TEMP
028B: HEATING_CABLE_TIME
028C: HEATING_CIRCUIT_PID_ISPOINT_GLOBAL
028E: HEATING_CIRCUIT_PID_SETPOINT_GLOBAL
0290: HEATING_CURVE_CHECK_SETTING
0291: HEATING_CURVE_LEFT_Y_GLOBAL
0293: HEATING_CURVE_LEFT_Y_LOCAL
0295: HEATING_CURVE_MAX_GLOBAL
0297: HEATING_CURVE_MAX_LOCAL
0299: HEATING_CURVE_MIN_GLOBAL
029B: HEATING_CURVE_MIN_LOCAL
029D: HEATING_CURVE_MYCKET_PROCENT
029E: HEATING_CURVE_NORMAL_PROCENT
029F: HEATING_CURVE_NO_OF_POINTS
02A0: HEATING_CURVE_PARALLEL_OFFSET
02A2: HEATING_CURVE_PARALLEL_OFFSET_GLOBAL
02A4: HEATING_CURVE_RIGHT_X_LOCAL
02A6: HEATING_CURVE_RIGHT_Y_GLOBAL
02A8: HEATING_CURVE_RIGHT_Y_LOCAL
02AA: HEATING_CURVE_VALUE
02AC: HEATING_CURVE_VH_LIMIT
02AD: HEATING_CURVE_Y10_GLOBAL
02AF: HEATING_CURVE_Y10_LOCAL
02B1: HEATING_CURVE_Y11_GLOBAL
02B3: HEATING_CURVE_Y11_LOCAL
02B5: HEATING_CURVE_Y12_GLOBAL
02B7: HEATING_CURVE_Y12_LOCAL
02B9: HEATING_CURVE_Y1_GLOBAL
02BB: HEATING_CURVE_Y1_LOCAL
02BD: HEATING_CURVE_Y2_GLOBAL
02BF: HEATING_CURVE_Y2_LOCAL
02C1: HEATING_CURVE_Y3_GLOBAL
02C3: HEATING_CURVE_Y3_LOCAL
02C5: HEATING_CURVE_Y4_GLOBAL
02C7: HEATING_CURVE_Y4_LOCAL
02C9: HEATING_CURVE_Y5_GLOBAL
02CB: HEATING_CURVE_Y5_LOCAL
02CD: HEATING_CURVE_Y6_GLOBAL
02CF: HEATING_CURVE_Y6_LOCAL
02D1: HEATING_CURVE_Y7_GLOBAL
02D3: HEATING_CURVE_Y7_LOCAL
02D5: HEATING_CURVE_Y8_GLOBAL
02D7: HEATING_CURVE_Y8_LOCAL
02D9: HEATING_CURVE_Y9_GLOBAL
02DB: HEATING_CURVE_Y9_LOCAL
02DD: HEATING_EXTERN_BLOCKED
02DE: HEATING_EXTERN_BLOCK_BY_E21_EXT_1
02DF: HEATING_EXTERN_BLOCK_BY_E21_EXT_2
02E0: HEATING_EXTERN_BLOCK_BY_E22_EXT_1
02E1: HEATING_EXTERN_BLOCK_BY_E22_EXT_2
02E2: HEATING_FIXED_TEMPERATURE
02E4: HEATING_MAX_TIME
02E5: HEATING_REGULATOR_I
02E7: HEATING_REGULATOR_P
02E9: HEATING_REQUEST
02EA: HEATING_REQUEST_2
02EB: HEATING_REQUEST_BLOCK_AFTER_START_TIME
02EC: HEATING_REQUEST_BLOCK_TIME
02EE: HEATING_SEASON_ACTIVE
02EF: HEATING_SEASON_DELAYED_TEMP
02F0: HEATING_SEASON_IMMEDIATE_TEMP
02F1: HEATING_SEASON_MODE
02F2: HEATING_SEASON_START_DELAY_TIME
02F3: HEATING_SEASON_STOP_DELAY_TIME
02F4: HEATING_SETPOINT
02F6: HEATING_START
02F8: HEATING_START_2
02FA: HEATING_STATUS_BLOCK
02FB: HEATING_STOP
02FD: HEATING_STOP_2
02FF: HEATING_SYSTEM_TYPE_GLOBAL
0300: HEATING_SYSTEM_TYPE_LOCAL
0301: HEATING_USE_EXTERNAL_SETPOINT
0302: HOLIDAY_ACTIVE
0303: HOLIDAY_ACTIVE_GLOBAL
0304: HOLIDAY_DHW
0305: HOLIDAY_REQUEST
0306: HOLIDAY_START_DAY
0307: HOLIDAY_START_DAY_GLOBAL
0308: HOLIDAY_START_MONTH
0309: HOLIDAY_START_MONTH_GLOBAL
030A: HOLIDAY_START_YEAR
030B: HOLIDAY_START_YEAR_GLOBAL
030C: HOLIDAY_STOP_DAY
030D: HOLIDAY_STOP_DAY_GLOBAL
030E: HOLIDAY_STOP_MONTH
030F: HOLIDAY_STOP_MONTH_GLOBAL
0310: HOLIDAY_STOP_YEAR
0311: HOLIDAY_STOP_YEAR_GLOBAL
0312: HOTGAS_HIGHEST_DIFF
0313: HOTGAS_LOWEST_DIFF
0315: HP_STOPS_UNTIL_ALARM
0316: HP_STOPS_UNTIL_ALARM_2
0317: HP_STOP_MAX_TIME
0318: HP_STOP_MAX_TIME_2
0319: HP_STOP_TIME_WINDOW
031A: HP_STOP_TIME_WINDOW_2
031B: HW_4_WAY_VALVE
031C: HW_4_WAY_VALVE_2
031D: HW_ADDITIONAL_ALARM
031E: HW_ADDITIONAL_DHW
031F: HW_ADDITIONAL_ONE_STEP
0320: HW_ADDITIONAL_RELAY_1
0321: HW_ADDITIONAL_RELAY_2
0322: HW_ADDITIONAL_RELAY_3
0323: HW_ADDITIONAL_START
0324: HW_ADDITIONAL_TRIAC_1
0325: HW_ADDITIONAL_TRIAC_2
0326: HW_ADDITIONAL_TRIAC_3
0327: HW_ADDITIONAL_VALVE_CLOSE
0328: HW_ADDITIONAL_VALVE_OPEN
0329: HW_BUZZER
032A: HW_COMPRESSOR
032B: HW_COMPRESSOR_2
032C: HW_COMPRESSOR_CAN_COMMUNICATION
032D: HW_COMPRESSOR_COMMUNICATION_ERR
032E: HW_COMPRESSOR_CURRENT
0330: HW_COMPRESSOR_FREERUN
0331: HW_COMPRESSOR_NAK
0333: HW_COMPRESSOR_TARGET_FREQ
0334: HW_COMPRESSOR_TEMP
0336: HW_COMPRESSOR_VOLTAGE
0338: HW_COMPRESSOR_WORKING_FREQ
0339: HW_CONTACTOR_1
033A: HW_CONTACTOR_2
033B: HW_COOLING_FAN
033C: HW_CRANKCASE_HEATER
033D: HW_CRANKCASE_HEATER_2
033E: HW_E11_T11_TEMP
0340: HW_E21_EXT_1
0341: HW_E21_EXT_1_INV
